name,association,birth date,height,age,age2,min,weighted height by min,weighted age by min,num,Ave. A w/o 0min,Ave. H w/o 0min,Ave. A w/o GK,Ave. H w/o GK,Ave. A w/o GK&0min,Ave. H w/o GK&0min
Mathew Ryan,AUS,1992/4/8,184,26,26.18,270,49680,7069.56,1,,,,,,
Brad Jones,AUS,1982/3/19,193,36,36.24,0,0,0,12,,,,,,
Daniel Vukovic,AUS,1985/3/27,187,33,33.22,0,0,0,18,,,,,,
Trent Sainsbury,AUS,1992/1/5,183,26,26.44,270,49410,7139.1,20,,,,,,
Aziz Behich,AUS,1990/12/16,170,27,27.49,270,45900,7423.15,16,,,,,,
Milos Degenek,AUS,1994/4/28,187,24,24.13,0,0,0,2,,,,,,
Josh Risdon,AUS,1992/7/27,169,25,25.88,270,45630,6988.19,19,,,,,,
Matthew Jurman,AUS,1989/12/8,190,28,28.52,0,0,0,6,,,,,,
James Meredith,AUS,1988/4/5,179,30,30.19,0,0,0,3,,,,,,
Mile Jedinak,AUS,1984/8/3,188,33,33.86,270,50760,9143.01,15,,,,,,
Mark Milligan,AUS,1985/8/4,178,32,32.86,270,48060,8872.27,5,,,,,,
Tom Rogic,AUS,1992/12/16,188,25,25.49,226,42488,5761.45,23,,,,,,
Massimo Luongo,AUS,1992/9/25,176,25,25.72,0,0,0,8,,,,,,
Aaron Mooy,AUS,1990/9/15,173,27,27.75,270,46710,7491.21,13,,,,,,
Jackson Irvine,AUS,1993/3/7,189,25,25.27,44,8316,1111.93,22,,,,,,
Daniel Arzani,AUS,1999/1/4,171,19,19.44,60,10260,1166.47,17,,,,,,
Dimitri Petratos,AUS,1992/11/10,176,25,25.59,0,0,0,21,,,,,,
Tim Cahill,AUS,1979/12/6,180,38,38.52,37,6660,1425.36,4,,,,,,
Robbie Kruse,AUS,1988/10/5,180,29,29.69,210,37800,6234.99,10,,,,,,
Mathew Leckie,AUS,1991/2/4,181,27,27.36,270,48870,7386.16,7,,,,,,
Tomi Juric,AUS,1991/7/22,190,26,26.9,94,17860,2528.47,9,,,,,,
Andrew Nabbout,AUS,1992/12/17,178,25,25.49,139,24742,3543.17,11,,,,,,
Jamie Maclaren,AUS,1993/7/29,178,24,24.88,0,0,0,14,,,,,,
AVERAGE,AUS,1990/4/25,181.22,27.61,28.14,129.13,179.51,28.04,2970,27.91,180.13,27.57,180.2,28.03,179.86
Alireza Beiranvand,IRN,1992/9/21,194,25,25.73,270,52380,6946.77,1,,,,,,
Mohammad Rashid Mazaheri,IRN,1989/5/18,192,29,29.07,0,0,0,12,,,,,,
Amir Abedzadeh,IRN,1993/4/26,186,25,25.13,0,0,0,22,,,,,,
Pejman Montazeri,IRN,1983/9/6,185,34,34.77,0,0,0,15,,,,,,
Morteza Pouraliganji,IRN,1992/4/19,187,26,26.15,270,50490,7061.42,8,,,,,,
Sayed Majid Hosseini,IRN,1996/6/20,183,21,21.98,189,34587,4154.89,19,,,,,,
Rouzbeh Cheshmi,IRN,1993/7/24,192,24,24.89,90,17280,2240.14,4,,,,,,
Mohammad Reza Khanzadeh,IRN,1991/5/11,186,27,27.09,0,0,0,13,,,,,,
Ramin Rezaeian,IRN,1990/3/21,185,28,28.23,270,49950,7622.88,23,,,,,,
Milad Mohammadi,IRN,1993/9/29,178,24,24.71,55,9790,1358.88,5,,,,,,
Ehsan Haji Safi,IRN,1990/2/25,178,28,28.3,215,38270,6084.21,3,,,,,,
