name,association,age,height,birth date,age2
Mathew Ryan,AUS,26,184,1992/4/8,26.18
Brad Jones,AUS,36,191,1982/3/19,36.24
Daniel Vukovic,AUS,33,188,1985/3/27,33.22
Trent Sainsbury,AUS,26,183,1992/1/5,26.44
Aziz Behich,AUS,27,170,1990/12/16,27.49
Milos Degenek,AUS,24,187,1994/4/28,24.13
Josh Risdon,AUS,25,167,1992/7/27,25.88
Matthew Jurman,AUS,28,190,1989/12/8,28.52
James Meredith,AUS,30,185,1988/4/4,30.19
Fran Karacic,AUS,22,185,1996/5/12,22.09
Mile Jedinak,AUS,33,189,1984/8/3,33.86
Mark Milligan,AUS,32,178,1985/8/4,32.86
James Troisi,AUS,29,176,1988/7/3,29.95
Tom Rogic,AUS,25,188,1992/12/16,25.49
Massimo Luongo,AUS,25,176,1992/9/25,25.72
Aaron Mooy,AUS,27,174,1990/9/15,27.75
Jackson Irvine,AUS,25,189,1993/3/7,25.27
Daniel Arzani,AUS,19,171,1999/1/4,19.44
Joshua Brillante,AUS,25,177,1993/3/25,25.22
Dimitri Petratos,AUS,25,176,1992/11/10,25.59
Tim Cahill,AUS,38,178,1979/12/6,38.52
Robbie Kruse,AUS,29,181,1988/10/5,29.69
Mathew Leckie,AUS,27,181,1991/2/4,27.36
Tomi Juric,AUS,26,189,1991/7/22,26.9
Nikita Rukavytsya,AUS,30,185,1987/6/22,30.98
Andrew Nabbout,AUS,25,178,1992/12/17,25.49
Jamie Maclaren,AUS,24,178,1993/7/29,24.88
AVERAGE,AUS,27.44,181.26,1990/6/23,27.98
Alireza Beiranvand,IRN,25,196,1992/9/21,25.73
Mohammad Rashid Mazaheri,IRN,29,193,1989/5/18,29.07
Amir Abedzadeh,IRN,25,186,1993/4/26,25.13
Pejman Montazeri,IRN,34,186,1983/9/6,34.77
Morteza Pouraliganji,IRN,26,185,1992/4/19,26.15
Sayed Majid Hosseini,IRN,21,183,1996/6/20,21.98
Rouzbeh Cheshmi,IRN,24,190,1993/7/24,24.89
Mohammad Reza Khanzadeh,IRN,27,188,1991/5/11,27.09
Ramin Rezaeian,IRN,28,185,1990/3/21,28.23
Milad Mohammadi,IRN,24,178,1993/9/29,24.71
Ehsan Haji Safi,IRN,28,176,1990/2/25,28.3
Omid Ebrahimi,IRN,30,181,1987/9/16,30.75
Saeid Ezatolahi,IRN,21,190,1996/10/1,21.7
Masoud Shojaei,IRN,34,184,1984/6/9,34.01
Ashkan Dejagah,IRN,31,181,1986/7/5,31.94
Alireza Jahanbakhsh,IRN,24,180,1993/8/11,24.84
Vahid Amiri,IRN,30,182,1988/4/2,30.2
Mehdi Torabi,IRN,23,183,1994/9/10,23.76
Ali Gholizadeh,IRN,22,176,1996/3/10,22.26
Saman Ghoddos,IRN,24,176,1993/9/6,24.77
Karim Ansarifard,IRN,28,181,1990/4/3,28.2
Reza Ghoochannejhad,IRN,30,180,1987/9/20,30.73
Mehdi Taremi,IRN,25,187,1992/7/18,25.91
